公司名称,电话,简介,地址,创建时间,注册资金,营业范围
美极官方旗舰店,固话：0579 - 87300346,"
    							义乌市踏青贸易有限公司是一家集设计、产品开发，市场营销和生产制造于一体的年轻而充满活力的电子秤生产企业，于2013年引进意大利设计元素，创建品牌“美极”，凭借出色的营销团队及优秀的设计师队伍，开始启动管理体系化，销售网络化，信息及时化等一系列优质的管理体系，充分挖掘产品类目盲区，整合产品优势，在竞争日益激烈的电子秤市场实现了线下品牌的大众化，让更多的客户用合理的价格享受优质的产品，真正实现快速流转，薄利多销，赢得广大代理商和商场的众多好评，也深受现代都市人的喜爱，多年来一直努力发展，不断创新。 公司秉承“关注客户、携手共赢”的服务理念； “质量保障，诚实守信”的原则。以优质的产品，优质的服务,赢得了阿里巴巴上的广大用户众多好评.在你们的支持下短短五年迅速发展。义乌市踏青贸易有限公司的诚信、实力和产品质量获得业界的认可。欢迎各界朋友莅临参观、指导和业务洽谈。
                        ",中国浙江金华永康市东城街道宜家时代花园3幢306室,2013年03月19日  ［已认证］,人民币100万元  ［已认证］,健身器材（不含弩），母婴用具、户外休闲用品、家用电器、仪器仪表、鞋、箱包、服装、玩具、化妆品、饰品，工艺品（不含文物），五金工具，电子产品（不含地面卫星接收设施..  ［已认证］
千聚工贸源头厂家,固话：0579 - 87186609,"
    							永康市千聚工贸有限公司是电子秤、电子秤配件等产品专业生产加工的公司，拥有完整、科学的质量管理体系。永康市千聚工贸有限公司的诚信、实力和产品质量获得业界的认可。欢迎各界朋友莅临参观、指导和业务洽谈。
                        ",中国浙江金华永康市芝英镇下徐店村,2013年01月24日  ［已认证］,人民币50万元  ［已认证］,一般项目：服装制造；服装服饰零售；家具制造；家具销售；金属制日用品制造；塑料制品制造；塑料制品销售；金属工具制造；家用电器制造；家用电器销售；衡器制造；衡器销售..  ［已认证］
沐韩工贸源头厂家,手机号码：18989426598,"
    							金华市沐韩工贸公司礼品杯 玻璃杯 商务杯 卡通杯，保温杯，集研发、生产、销售、批发为一体的新型企业。公司总部设在浙江省金华市金东区孝顺镇正涵北街328号  公司始终坚持：简单、专注、正直、开放8字理念，公司创建于2015年，坚持以质量为生命、时间为信誉、价格为竞争力的经营信念，拥有自己的大型工厂和一支高素质的专业技术队伍，。欢迎各界朋友莅临司金华市沐韩工贸公司参观、指导和业务洽谈。
                        ",中国浙江金华金东经济开发区正涵北街328号3号厂房,2016年03月16日  ［已认证］,"人民币1,000万元  ［已认证］",杯子加工（除废塑料、危险品及有污染的工艺）、组装，家用秤生产、销售；日用杂品、化妆品、针纺织品、服装鞋帽、床上用品、厨房用具、工艺品、玩具、五金产品、文具用品、..  ［已认证］
东莞长协源头厂家,手机号码：18607691726,"
    							东莞市南城长协电子制品厂是珠宝秤、厨房秤、手提秤、勺子秤、电子天平秤等产品专业生产加工的公司，拥有完整、科学的质量管理体系。东莞市南城长协电子制品厂的诚信、实力和产品质量获得业界的认可。欢迎各界朋友莅临参观、指导和业务洽谈。东莞市南城长协电子制品厂是珠宝秤、厨房秤、手提秤、勺子秤、电子天平秤等产品专业生产加工的公司，拥有完整、科学的质量管理体系。东莞市南城长协电子制品厂的诚信、实力和产品质量获得业界的认可。欢迎各界朋友莅临参观、指导和业务洽谈。
                        ",中国广东东莞南城街道袁屋边社区隐山路15号二楼201,2014年10月20日  ［已认证］,无需验资  ［已认证］,产销：电子制品、五金制品、塑胶制品。  ［已认证］
幸运电子源头厂家,固话：0519 - 88856044,"
    							常州市幸运电子设备有限公司是一家集生产加工、经销批发的私营有限责任公司，卤素水分仪，电子天平、分析电子天平、精密电子天平、纺织电子天平、旦尼尔电子天平、支数电子天平、特种电子天平、纺织仪器、实验仪器是常州市幸运电子设备有限公司的主营产品。常州市幸运电子设备有限公司是一家经国家相关部门批准注册的企业。常州市幸运电子设备有限公司以雄厚的实力、合理的价格、优良的服务与多家企业建立了长期的合作关系。常州市幸运电子设备有限公司热诚欢迎各界前来参观、考察、洽谈业务。
                        ",中国江苏常州天宁区朝阳新村94号,1994年07月02日  ［已认证］,人民币500万元  ［已认证］,电子显示屏、电子器件、仪器仪表的制造、加工，计量器具的生产及维修（按《中华人民共和国制造计量器具许可证》核定品类经营），计量器具、仪器仪表的销售。（依法须经批准..  ［已认证］
兴化市源美电子秤加工厂,固话：0523 - 13040156666,"
    							兴化市源美电子秤加工厂是体重秤、电子秤等产品专业生产加工的公司，拥有完整、科学的质量管理体系。兴化市源美电子秤加工厂的诚信、实力和产品质量获得业界的认可。欢迎各界朋友莅临参观、指导和业务洽谈。
                        ",中国江苏泰州兴化市经济开发区昭阳工业园区美全路16号厂区内,2017年06月07日  ［已认证］,无需验资  ［已认证］,电子秤生产销售，体育用品、日用百货零售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）（有效期至2021年7月1日止）  ［已认证］
义乌昊瑞电子商务有限公司,固话：134 - 29027662,"
    							义乌昊瑞电子商务有限公司地处中国小商品城-义乌。主要生产销售电子人体秤、健康秤、体重秤、厨房秤、身高体重秤、电子秤、家居畅销礼品、淘宝畅销品等产品，拥有完整、科学的质量管理体系。义乌昊瑞电子商务有限公司的诚信、实力和产品质量获得业界的认可。欢迎各界朋友莅临参观、指导和业务洽谈。
                        ",中国浙江金华义乌市北苑街道凌云一区3幢3号202室（自主申报）,2016年06月07日  ［已认证］,人民币50万元  ［已认证］,网上销售、实物现场批发：电子产品（不含电子出版物）、家用电器、家居日用品、鞋、袜子、喜庆日用品、针纺织品、床上用品、饰品、工艺品、服装、五金制品、化妆品（不含危..  ［已认证］
温州皓月源头厂家,固话：0577 - 65599565,"
    							公司简介：温州皓月衡器是一家专业从事家用衡器研发、生产的企业。始于1992年，2009年重组成立温州皓月日用品有限公司，多年的积累使得皓月衡器步入快速发展阶段，2009年成立设计部、外贸部，2009年共取得多项外观设计专利和实用新型专利。产品结构囊括机械秤，电子秤两大系列。致力于为客户提供优质的家用衡器测量、计量解决方案。产品出口全球多个国家、地区，以欧盟和北美为主要市场。
公司以“做有社会责任感的创新型企业”为核心价值观，树立“""诚信、创新、优质”的企业精神，塑造“以人为本”的企业文化，追求卓越，超越自我，旨在成为客户认可、受人尊敬的、具有社会责任优秀企业。
                        ",中国浙江温州瑞安市南滨街道宋浦东路1999号云江标准厂房轻工区4幢501室,2009年04月17日  ［已认证］,人民币650万元  ［已认证］,日用品、家用电器、五金、工艺礼品制造、销售；货物进出口、技术进出口  ［已认证］
中山市百鸟电子有限公司,固话：760 - 89873066,"
    							中山市百鸟电子有限公司是健康秤、厨房秤、人体电子秤、卫浴秤、脂肪电子秤、太阳能电子秤、台秤、行李秤、仪表、计重秤等产品专业生产加工的公司，拥有完整、科学的质量管理体系。中山市百鸟电子有限公司的诚信、实力和产品质量获得业界的认可。欢迎各界朋友莅临参观、指导和业务洽谈。
                        ",中国广东中山火炬开发区江尾头村“牛肚环”星达·嘉湖工业园3号厂房1楼,2009年07月03日  ［已认证］,人民币100万元  ［已认证］,研发、生产、销售：电子衡器；第二类、第三类医疗器械经营；货物或技术进出口（国家禁止或涉及行政审批的货物和技术进出口除外）（上述经营范围涉及货物进出口、技术进出口..  ［已认证］
佛山市南海英展衡器有限公司,固话：0757 - 85752286,"
    							佛山市南海英展衡器有限公司全新组建于2001年初，汇聚了一批从业多年的电子衡器、工控系统领域的优秀人才，并与众多高校、科研院所紧密合作。公司创建“英展衡器”品牌，整合强大的科研、生产、流通、售后及增值服务各种优势资源，致力于打造立足广东最专业、全方位、权威性衡器交流平台，并作为官方质监系统的前沿宣传阵地，积极做出应有的贡献！
公司研制、销售各种标准电子衡器（汽车衡、平台秤、吊钩秤、台秤、皮带秤、轴重秤、钢瓶秤、动物秤、轨道衡、缓冲秤、钢包秤等）；称重模块、定量包装及灌装、定量配料控制系统；实验仪器设备（试验机、天平等）；专用称重系统（防爆衡器、装载机电子秤、起重量限制器等）；各种称重配件及管理软件。
英展衡器建立了广东地区品种最丰富的常用衡器及备件仓库（动态库存一般不低于40万元），代理或销售众多国内一流品牌，为客户和同行及时提供备品备件，并与许多著名企业保持良好的合作关系，如：上海英展、METTLER-TOLEDO(梅特勒.托利多)、中航电测、耀华仪表、柯力传感器、、香河砝码......

  英展已为10多万家客户或区内外同行及质监计量部门提供产品或服务。我们脚踏实地、个性化的本土服务特色赢得了广大客户的信任与好评。
我们一路同行，仰仗您的厚爱和支持，不胜感激！
                        ",中国广东佛山南海区大沥镇盐步平地路段广佛五金城B区11馆28号（住所申报）,2011年10月26日  ［已认证］,人民币50万元  ［已认证］,销售：衡器及配件。(依法须经批准的项目，经相关部门批准后方可开展经营活动)  ［已认证］
深圳市鸿辉高科电子有限公司,固话：0755 - 29096422,"
    							深圳市鸿辉高科电子有限公司是电子称、体重秤、体脂秤、脂肪秤等产品专业生产加工的公司，拥有完整、科学的质量管理体系。深圳市鸿辉高科电子有限公司的诚信、实力和产品质量获得业界的认可。欢迎各界朋友莅临参观、指导和业务洽谈。
                        ",中国广东深圳宝安区沙井街道沙一社区下冲路131-1号,2013年11月22日  ［已认证］,人民币100万元  ［已认证］,一般经营项目:小家电、按摩器械、家用电器、美容器械、电子产品、电疗器械、护理器械、理疗器械、震动按摩器、建筑材料的销售；国内贸易；货物及技术进出品。（法律、行政..  ［已认证］
上海友缜电子科技有限公司,固话：021 - 54849899,"
    							上海友缜电子科技有限公司 经销批发的电子秤、电子天平、电子台秤、吊秤、条码秤/收银秤、小地磅、分析天平、厨房秤、珠宝称、电子秤配件畅销消费者市场，在消费者当中享有较高的地位，公司与多家零售商和代理商建立了长期稳定的合作关系，获得著名品牌的授权。所售产品质量稳定，品种齐全、价格合理并支持30天内包退换。上海友缜电子科技有限公司实力雄厚，重信用、守合同、保证产品质量，以多品种经营特色和薄利多销的原则，赢得了广大客户的信任。
                        ",中国上海奉贤区茂园路661号2163室,2017年06月06日  ［已认证］,人民币50万元  ［已认证］,从事电子科技领域内的技术开发、技术咨询、技术服务、技术转让，工具量具、仪器仪表、衡器、数码产品、电子产品、体育用品、健身器材、广告材料、家用电器、家居用品、五金..  ［已认证］
珠海云麦科技有限公司,固话：0755 - 86716230,"
    							云麦科技，中国健康生活方式领军企业。依托于健康监测管理硬件配合好轻APP、独家的大数据核心算法及健康生活配件产品，服务于减肥、减脂和塑形以及追求生活品质的人群。
     成立近4年来云麦科技不断自我突破于迭代创新，坚持把创新应用及生活品质作为切入市场的突破口，成功推出倡导精致生活方式的智能体脂秤、瑜伽垫、健康周边等系列产品，畅销国内、国际市场，在多国市场占有率达到第一。
    “每个人都值得更健康”是云麦科技的品牌理念。云麦立志引领高品质生活产品，将云麦打造成世界范围内的中国品牌。
                        ",中国广东珠海香洲区香溪路50号二楼办公之2103,2014年05月15日  ［已认证］,人民币229.678万元  ［已认证］,商事主体的经营范围在章程中载明（其中合伙企业的经营范围在合伙协议中载明，个人独资企业和个体工商户的经营范围在设立登记申请书中载明）。经营范围中属于法律、法规规定..  ［已认证］
铂衡电子源头厂家,固话：0769 - 23092915,"
    							东莞市铂衡电子有限公司（以下简称铂衡电子）成立于2015年，是一家集设计、生产和销售于一体的综合性公司，经过五年多的不断发展，创建知名的“帝衡”精密仪器品牌，一直致力于精密仪器电子秤研发、生产和行销，现有产品线已覆盖珠宝秤、口袋秤、人体秤、手提秤、台秤、计价秤、实验秤、地磅等系列电子产品。 
    公司总部坐落在东莞南城区，拥有完整的独立自主研发体系，与美国、台湾等芯片供应商技术合作紧密，向广大用户提供”专业、优良、高性价比”的精密仪器系列产品，推动电子精密仪器在中国的普及。 
    秉承本土化企业优势，铂衡电子坚持”品质源于精工细作”的原则，以用户需求为导向，始终以契合市场的产品规划、高品质的大规模制造、稳健的销售渠道和完善的售后服务体系来保障技术、产品、市场三者的相互衔接，拥有快速的市场反应能力与实现能力。公司先后在江苏、浙江、深圳、东莞等14个中心城市建立了销售和技术服务中心，经销商数量已经超过80家，并且还在快速的成长中，遍布全国的铂衡经销服务体系已逐步形成。 
    未来的2-3年内，铂衡将进一步加大研发和营销投入，通过产品线的扩充、销售渠道的扩建和品牌的市场推广，进一步扩大市场占有率，努力使铂衡成为中国电子精密仪器与数字化现代的带领者。
                        ",中国广东东莞道滘镇北永村金牛新村三横路九巷3号5楼502,2017年05月09日  ［已认证］,人民币100万元  ［已认证］,研发、加工、产销：电子产品、电子材料、计量器具（电子秤）、电子元器件、仪器仪表；销售、网上销售：机械设备、电子周边产品、五金制品、塑胶制品、日用品、通讯产品、计..  ［已认证］
深圳市美孚电子有限公司,固话：755 - 28459229,"
    							深圳市美孚电子有限公司（简秤：美孚电子）
深圳市美孚电子有限公司成立于2011年，简称：美孚电子，是一家专业电子体重秤，研发生产制造商；

美孚电子坚持自主研发设计，自主工厂生产装配，多个自有品牌多渠道拓展，国内国际线上线下同步销售；拥有独立的多个职能部门，形成完善的产品研发系统，供应链生产管控，多渠道销售团队；产品拥有多项国家专利，产品品质通过欧盟CE，美国FCC、FDA，中国SMQ等各项认证；

公司拥有独立的：电子体重秤、体脂称方案设计、硬件结构、外观设计、APP软件开发等研发工程团队，能持续不断的为市场和客户，提供具有新价值、创新型的各类测量体重体脂类产品。

公司成立8年来，始终坚守：“苛求品质，精准求精”的品质要求，严格的供应商筛选，苛刻的来料检控，加上独有的3道精度检测工艺，确保产品精度高于行业标准。

过硬的产品品质，灵活的合作定制方案，不断升级的产品设计，为国内电商和跨境电商平台，各大商家、TOP品牌提供了稳定及时的货源。线下企事业单位、礼品定制市场，正在持续深度合作。
                        ",中国广东深圳龙岗区平湖街道禾花社区佳业路12号C1栋101,2011年08月09日  ［已认证］,人民币100万元  ［已认证］,一般经营项目:电子产品，一类医疗器械的研发及销售；经营电子商务；国内贸易； 许可经营项目:电子产品、家用电器、二级医疗器械的生产；二类医疗器械的研发及销售  ［已认证］
深圳闪易健康科技源头厂家,固话：0755 - 29096422,"
    							深圳市闪易健康科技有限公司（简称“闪易”）前身为深圳思奥电子厂，位于出口贸易发达、科技先进的深圳经济特区。闪易2013年开始涉足衡器生产，是一家集科研、开发、设计、生产、销售于一体的综合性企业。
        公司现在以智能蓝牙秤、体脂秤、按摩护眼仪为主导产品，主要品牌有“SHINING/闪易”和“QIANYU/纤语”牌。公司通过了ISO9001质量体系认证，产品也相继通过CE、KC、CCC、FCC、Rosh等众多国内外的认证，荣获国家多项专利证书。产品远销欧、美、亚各大洲60多个国家、地区，闪易衡器近年来出口销量一直递增，品质更是得到国内外市场的肯定和用户的认可。
        闪易出口产品生产总部在深圳市，占地1500平方米，3条流水线，出口、日产量5000-8000台。我们具有专业的生产装配车间，先进的生产设备，科学的生产工艺及不断完善的企业管理模式，使得生产的产品质量得到严格保证，是出口产品品牌首选的OEM和ODM生产基地。
        公司设有一个技术研发中心，拥有专业的技术人才；自主研发了多款蓝牙APP产品，其中软件产品涵盖有个人健康云端大数据、iOS及Android平台APP、SDK开发包、微信小程序等。同时闪易也是一家高科技企业，我们会不断的提高产品开发技术。闪易秉持“品质为本，诚信为基，市场为导，创新为魂”的经营理念，服务好全球每一位消费者，让我们不断努力一起创造更理想的生活。
                        ",中国广东深圳宝安区沙井街道沙三上下围创业园3栋2号楼6楼,2017年10月23日  ［已认证］,人民币100万元  ［已认证］,一般经营项目:按摩器材、智能家电、玻璃、健身器材、衡器产品的研发及销售。 许可经营项目:电子产品的生产。  ［已认证］
