商品名称,商品详情地址,公司名称,公司类型,省,市,注册资金,信用级别,回购率,信用详情地址,公司详情地址
厂家直销 14格药盒 双排十四格上下午分隔医药盒 opp袋装透明药盒,http://nbabson.1688.com,宁波艾博森塑料制品有限公司,生产加工,浙江,宁波市镇海区,100.0万,AA,34%,https://xinyong.1688.com/credit/publicCreditDetail.htm?acntType=3&acnt=WFqw%2FG%2B9w70qSTi2sQ3tf7oIMn%2FkQeTIr90NYx4nWrQ%3D,http://nbabson.1688.com
日本家用分隔式药盒 随身药盒 便携一周 旋转药盒 七分格 小药盒,http://ouxinglife.1688.com,义乌市偶行电子商务有限公司,经销批发,浙江,义乌市,50.0万,AA,25.7%,https://xinyong.1688.com/credit/publicCreditDetail.htm?acntType=3&acnt=cI3qgzijk15eKFjuzL72XniG72BCyHWv,http://ouxinglife.1688.com
一周28格抽屉式7天药盒带盲文塑料4格分隔小药盒透明塑料收纳盒,http://pyyqgypc.1688.com,瑞安市一强日用品有限公司,生产加工,浙江,平阳县,20.0万,AA,41.7%,https://xinyong.1688.com/credit/publicCreditDetail.htm?acntType=3&acnt=gYry76Ajc%2B%2BNxforuo5YoQ%3D%3D,http://pyyqgypc.1688.com
分装分隔便携密封药盒  便携式14格小药盒随身迷你一周7天药盒,http://tzlikelai.1688.com,台州市利客来塑胶制品厂,生产加工,浙江,台州市黄岩区,0.0万,AAA,11.2%,https://xinyong.1688.com/credit/publicCreditDetail.htm?acntType=3&acnt=lPv%2BlcqTp3hRVhD2YTyyNA%3D%3D,http://tzlikelai.1688.com
厂家直销圆形七格药丸盒 透明一周药盒 便携药盒,http://pyhonghu.1688.com?tracelog=p4p,平阳县鸿鹄工艺品厂,生产加工,浙江,平阳县,0.0万,AAA,40.5%,https://xinyong.1688.com/credit/publicCreditDetail.htm?acntType=3&acnt=b8n0GNfrqOpxgxVDGcy9bg%3D%3D,http://pyhonghu.1688.com?tracelog=p4p
4格6格迷你桌面收纳盒 五金工具盒 小药盒,http://pykairui.1688.com?tracelog=p4p,平阳县凯瑞塑料制品厂,生产加工,浙江,温州市,0.0万,AA,35.4%,https://xinyong.1688.com/credit/publicCreditDetail.htm?acntType=3&acnt=2th048PfYLwXfaq9JPilFw%3D%3D,http://pykairui.1688.com?tracelog=p4p
厂家直销透明塑料6格药盒 盲文便携药盒 随身小药盒 收纳盒系列,http://raxiangshuai.1688.com?tracelog=p4p,瑞安市祥帅塑料制品厂,生产加工,浙江,瑞安市,0.0万,AA,28.3%,https://xinyong.1688.com/credit/publicCreditDetail.htm?acntType=3&acnt=S6BUWl5JYuvRCd5LEDDz%2F3Sa6p9FuFSr,http://raxiangshuai.1688.com?tracelog=p4p
药盒便携21格一周星期小药盒迷你药盒随身方便分装药丸药品收纳盒,http://shop5322076r725n0.1688.com?tracelog=p4p,东莞益凯实业有限公司,生产加工,广东,东莞市,800.0万,AA,,https://xinyong.1688.com/credit/publicCreditDetail.htm?acntType=3&acnt=XYQR6hjryC3wao67wgmOp8XrQfG7SP5XKHB%2FiS%2Fltn8%3D,http://shop5322076r725n0.1688.com?tracelog=p4p
多格便携密封药盒 随身便携迷你一周分装日式大容量创意设计收纳,http://timelock.1688.com?tracelog=p4p,南康区锦钛金属制品厂,生产加工,江西,赣州市,0.0万,A,17.6%,https://xinyong.1688.com/credit/publicCreditDetail.htm?acntType=3&acnt=S6BUWl5JYus9KJ0ZBRIMx8OlyiZYEaT3lY%2FUGxAMfqM%2FCIPe0%2BjZdg%3D%3D,http://timelock.1688.com?tracelog=p4p
分药盒便携式七天星期小药盒28格迷你随身一周分装药盒,http://shop5087707h9z878.1688.com?tracelog=p4p,温州市澎昊科技有限公司,,浙江,温州市,0.0万,BBB,0%,https://xinyong.1688.com/credit/publicCreditDetail.htm?acntType=3&acnt=S6BUWl5JYutj%2FARbaNqwP2pY2CwgIBaL8XGofM9wZGY%2FCIPe0%2BjZdg%3D%3D,http://shop5087707h9z878.1688.com?tracelog=p4p
一周七天28格分钻盒钻石画药盒便携式旅行药盒独立盖容量备忘药盒,http://18869933951.1688.com?tracelog=p4p,义乌市华萱塑料制品厂,生产加工,浙江,义乌市,0.0万,AA,23.2%,https://xinyong.1688.com/credit/publicCreditDetail.htm?acntType=3&acnt=XYQR6hjryC2ugrCDxDPyx6XKT8ueD2qBO1CH7c%2BaLmE%3D,http://18869933951.1688.com?tracelog=p4p
小药盒便携一周分装药盒旅行随身收纳盒切药器迷你药品药丸薬盒子,http://shop8078105293232.1688.com?tracelog=p4p,苍南县奥美诗日用品厂,生产加工,浙江,温州市,0.0万,A,35.4%,https://xinyong.1688.com/credit/publicCreditDetail.htm?acntType=3&acnt=ete0n6KtDUt5gVZScx1891iu7mYNcwber90NYx4nWrQ%3D,http://shop8078105293232.1688.com?tracelog=p4p
亚马逊爆款双排14格钢琴弹跳药盒七彩按压分隔药盒定制直销药盒,http://dgyksy.1688.com,东莞益凯实业有限公司,生产加工,广东,东莞市,800.0万,AA,44.4%,https://xinyong.1688.com/credit/publicCreditDetail.htm?acntType=3&acnt=QvrM4J%2BXeIw%2FCIPe0%2BjZdg%3D%3D,http://dgyksy.1688.com
厂家热销14格收纳盒 双排十四格分隔医药盒 opp袋装便携塑料药盒,http://lipin0576.1688.com,台州市利客来塑胶制品厂,生产加工,浙江,台州市黄岩区,0.0万,AAA,17.3%,https://xinyong.1688.com/credit/publicCreditDetail.htm?acntType=3&acnt=KYfUsisw4%2FnZPOBknMtPgQ%3D%3D,http://lipin0576.1688.com
