商品名称,商品详情地址,公司名称,公司类型,省,市,注册资金,信用级别,回购率,信用详情地址,公司详情地址
新款纯钛眼镜架近视眼镜男舒适全框大脸超轻眼镜框弹性漆眼镜8878,http://bsf888.1688.com,镇江市百世芬眼镜有限公司,生产加工,江苏,丹阳市,100.0万,AAA,25.8%,https://xinyong.1688.com/credit/publicCreditDetail.htm?acntType=3&acnt=S6BUWl5JYuvkW5yxWeyuyYiNL3xky0VHdCiWUB5O8%2FE%2FCIPe0%2BjZdg%3D%3D,http://bsf888.1688.com
便携式折叠老花镜远近两用多功能双光老花眼镜金属高清老光镜2020,http://jjyeyjc.1688.com,台州市椒江仰恩眼镜厂,生产加工,浙江,台州市,0.0万,AA,23.1%,https://xinyong.1688.com/credit/publicCreditDetail.htm?acntType=3&acnt=%2Bxc4HF7G0Kk%2FCIPe0%2BjZdg%3D%3D,http://jjyeyjc.1688.com
智能低头蓝牙报警提示性功能眼镜一套三OEM定制近视防控厂家,http://youzee.1688.com,台州佑泽眼镜有限公司,生产加工,浙江,台州市,50.0万,AA,14.6%,https://xinyong.1688.com/credit/publicCreditDetail.htm?acntType=3&acnt=1CMafYeidTvCyd1bvrE4cne9dnQpQKAuAPQ%2FdSGmcFg%3D,http://youzee.1688.com
抖音男士夜视镜防尘骑行眼镜多功能套镜开车防眩光防风太阳镜1738,http://shop1408034469814.1688.com,台州市椒江鑫圣源眼镜厂,生产加工,浙江,台州市,0.0万,AAA,36.2%,https://xinyong.1688.com/credit/publicCreditDetail.htm?acntType=3&acnt=S6BUWl5JYuvAzcPpwwtJBNWn58oOWwpE,http://shop1408034469814.1688.com
金属眼镜框 细丝金边圆形平光镜 韩版复古圆框眼镜架男女同款近视,http://lfeyewear.1688.com?tracelog=p4p,临海市凌峰眼镜厂,生产加工,浙江,临海市,0.0万,AAA,20.9%,https://xinyong.1688.com/credit/publicCreditDetail.htm?acntType=3&acnt=O1meevr2l5bf3xWY6hvG%2BMTT4wsvXWuLVE5gFK%2BAbao%3D,http://lfeyewear.1688.com?tracelog=p4p
防蓝光老花眼镜TR90摔不烂折不断跑江湖地摊老花镜中老年眼镜825,http://lanshiyanjing.1688.com?tracelog=p4p,台州蓝狮眼镜有限公司,生产加工,浙江,临海市,100.0万,AA,19.5%,https://xinyong.1688.com/credit/publicCreditDetail.htm?acntType=3&acnt=ete0n6KtDUt5IvOHjV5T1aSHoEwVkzNGVE5gFK%2BAbao%3D,http://lanshiyanjing.1688.com?tracelog=p4p
品牌大框防蓝光眼镜架2020新款方形瘦脸眼镜框网红同款平光镜,http://curtainyj.1688.com?tracelog=p4p,临海市珂盾眼镜有限公司,经销批发,浙江,临海市,50.0万,AAA,32.4%,https://xinyong.1688.com/credit/publicCreditDetail.htm?acntType=3&acnt=1%2FIJDaW80mdA7v6XSl7vqDUg1p7zTKRq,http://curtainyj.1688.com?tracelog=p4p
新款防蓝光眼镜远近两用老花眼镜智能渐进多焦点老花镜变焦老人镜,http://shop69yp0357642m3.1688.com?tracelog=p4p,临海市铭曦贸易有限公司,生产加工,浙江,台州市椒江区,50.0万,A,31.1%,https://xinyong.1688.com/credit/publicCreditDetail.htm?acntType=3&acnt=Fwc6DVq77KPAQUibNZsBBxN9n82XkGliU3Nue%2BYAewE%3D,http://shop69yp0357642m3.1688.com?tracelog=p4p
折叠老花镜天线变焦防蓝光高档超轻老人眼镜男女远近两用厂家直销,http://uyanjing.1688.com?tracelog=p4p,温州优视力电子商务有限公司,生产加工,浙江,温州市,100.0万,A,16.6%,https://xinyong.1688.com/credit/publicCreditDetail.htm?acntType=3&acnt=S6BUWl5JYuuRzuv5pIslnQ%2BTaLC2XbbLp6pywTEXCRw%2FCIPe0%2BjZdg%3D%3D,http://uyanjing.1688.com?tracelog=p4p
2020新款精致钛架眼镜框 男士高端商务半框近视眼镜架 方形平光镜,http://yihaoguangxue.1688.com?tracelog=p4p,临海翼豪光学眼镜有限公司,生产加工,浙江,临海市,100.0万,AAA,15.8%,https://xinyong.1688.com/credit/publicCreditDetail.htm?acntType=3&acnt=5Z%2B7irAMX3HIC6nYL%2BatYzZATC8UPoJ1,http://yihaoguangxue.1688.com?tracelog=p4p
